Agency,Agency_Name,Borough,Location_Type,Street_Name,Complaint_Type,Descriptor,Incident_Zip
DEP,Department of Environmental Protection,MANHATTAN,,DONGAN PLACE,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,QUEENS,,69 PLACE,Sewer,Sewer Odor (SA2),11379
DEP,Department of Environmental Protection,BRONX,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10451
DEP,Department of Environmental Protection,MANHATTAN,,WEST  174 STREET,Water System,Dirty Water (WE),10033
DEP,Department of Environmental Protection,QUEENS,,,Sewer,Highway Flooding (SH),
DEP,Department of Environmental Protection,MANHATTAN,,SEAMAN AVENUE,Water System,Dirty Water (WE),10034
DEP,Department of Environmental Protection,BROOKLYN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),11208
DEP,Department of Environmental Protection,BROOKLYN,,MONROE PLACE,Water Quality,unknown odor/taste in drinking water (QA6),11201
DEP,Department of Environmental Protection,BROOKLYN,,4 AVENUE,Water System,Dirty Water (WE),11217
DEP,Department of Environmental Protection,BRONX,,ROCHELLE STREET,Sewer,Sewer Backup (Use Comments) (SA),10464
DEP,Department of Environmental Protection,BROOKLYN,,4 AVENUE,Water System,Dirty Water (WE),11217
DEP,Department of Environmental Protection,MANHATTAN,,WEST  181 STREET,Water System,Possible Water Main Break (Use Comments) (WA1),10033
DEP,Department of Environmental Protection,MANHATTAN,,CATHEDRAL PARKWAY,Water System,Dirty Water (WE),10026
DEP,Department of Environmental Protection,BROOKLYN,,CLINTON AVENUE,Lead,Lead Kit Request (Residential) (L10),11238
DEP,Department of Environmental Protection,BROOKLYN,,BALTIC STREET,Lead,Lead Kit Request (Residential) (L10),11217
DEP,Department of Environmental Protection,MANHATTAN,,WEST   22 STREET,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10010
DEP,Department of Environmental Protection,BRONX,,STARLING AVE,Water System,Hydrant Running Full (WA4),10462
DEP,Department of Environmental Protection,BROOKLYN,,,Water System,Possible Water Main Break (Use Comments) (WA1),11208
DEP,Department of Environmental Protection,MANHATTAN,,BROADWAY TERRACE,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,BROOKLYN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),11249
DEP,Department of Environmental Protection,BROOKLYN,,HANCOCK STREET,Sewer,Manhole Cover Missing (Emergency) (SA3),11221
DEP,Department of Environmental Protection,MANHATTAN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10013
DEP,Department of Environmental Protection,MANHATTAN,,,Water System,Leak (Use Comments) (WA2),
DEP,Department of Environmental Protection,BROOKLYN,,TOMPKINS AVENUE,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11216
DEP,Department of Environmental Protection,MANHATTAN,,,Water System,Possible Water Main Break (Use Comments) (WA1),10033
DEP,Department of Environmental Protection,QUEENS,,91 STREET,Sewer,Manhole Cover Missing (Emergency) (SA3),11369
DEP,Department of Environmental Protection,MANHATTAN,,WADSWORTH AVENUE,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,MANHATTAN,,WEST  173 STREET,Water System,Dirty Water (WE),10032
DEP,Department of Environmental Protection,BROOKLYN,,4 AVENUE,Water System,Dirty Water (WE),11217
DEP,Department of Environmental Protection,MANHATTAN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),
DEP,Department of Environmental Protection,QUEENS,,10 AVENUE,Lead,Lead Kit Request (Residential) (L10),11357
DEP,Department of Environmental Protection,MANHATTAN,,BROADWAY,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,QUEENS,,,Water System,Leak (Use Comments) (WA2),11693
DEP,Department of Environmental Protection,MANHATTAN,,11 AVENUE,Sewer,Manhole Cover Missing (Emergency) (SA3),10036
DEP,Department of Environmental Protection,MANHATTAN,,PINEHURST AVENUE,Water System,Dirty Water (WE),10033
DEP,Department of Environmental Protection,BROOKLYN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),11238
DEP,Department of Environmental Protection,BROOKLYN,,MONROE PLACE,Water Quality,unknown odor/taste in drinking water (QA6),11201
DEP,Department of Environmental Protection,MANHATTAN,,WEST  160 STREET,Water System,Dirty Water (WE),10032
DEP,Department of Environmental Protection,MANHATTAN,,WEST  110 STREET,Sewer,Manhole Cover Missing (Emergency) (SA3),10026
DEP,Department of Environmental Protection,MANHATTAN,,WADSWORTH AVENUE,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,QUEENS,,,Sewer,Manhole Cover Missing (Emergency) (SA3),11354
DEP,Department of Environmental Protection,MANHATTAN,,BOGARDUS PLACE,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,STATEN ISLAND,,SYCAMORE STREET,Lead,Lead Kit Request (Residential) (L10),10312
DEP,Department of Environmental Protection,BROOKLYN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),11249
DEP,Department of Environmental Protection,MANHATTAN,,BOGARDUS PLACE,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,MANHATTAN,,EAST   12 STREET,Air Quality,"Air: Dust, Construction/Demolition (AE4)",10009
DEP,Department of Environmental Protection,MANHATTAN,,PAYSON AVENUE,Water System,Dirty Water (WE),10034
DEP,Department of Environmental Protection,MANHATTAN,,WEST  215 STREET,Water System,Dirty Water (WE),10034
DEP,Department of Environmental Protection,MANHATTAN,,FORT WASHINGTON AVENUE,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,MANHATTAN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10024
DEP,Department of Environmental Protection,QUEENS,,,Water System,Possible Water Main Break (Use Comments) (WA1),11354
DEP,Department of Environmental Protection,MANHATTAN,,,Noise,Noise: Alarms (NR3),
DEP,Department of Environmental Protection,MANHATTAN,,WEST   60 STREET,Lead,Lead Kit Request (Residential) (L10),10023
DEP,Department of Environmental Protection,MANHATTAN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10027
DEP,Department of Environmental Protection,BROOKLYN,,WYTHE AVENUE,Water System,Dirty Water (WE),11249
DEP,Department of Environmental Protection,MANHATTAN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10024
DEP,Department of Environmental Protection,MANHATTAN,,RIVERSIDE DRIVE,Water System,Dirty Water (WE),10034
DEP,Department of Environmental Protection,MANHATTAN,,LAUREL HILL TERRACE,Water System,Dirty Water (WE),10033
DEP,Department of Environmental Protection,QUEENS,,42 STREET,Lead,Lead Kit Request (Residential) (L10),11104
DEP,Department of Environmental Protection,MANHATTAN,,WEST  190 STREET,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,MANHATTAN,,WEST  218 STREET,Water System,Dirty Water (WE),10034
DEP,Department of Environmental Protection,BROOKLYN,,4 AVENUE,Water System,Dirty Water (WE),11217
DEP,Department of Environmental Protection,MANHATTAN,,FORT WASHINGTON AVENUE,Water System,Dirty Water (WE),10033
DEP,Department of Environmental Protection,BROOKLYN,,4 AVENUE,Water System,Dirty Water (WE),11217
DEP,Department of Environmental Protection,MANHATTAN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),10003
DEP,Department of Environmental Protection,BRONX,,WALLACE AVENUE,Water System,Dirty Water (WE),10462
DEP,Department of Environmental Protection,QUEENS,,54 ST,Sewer,Manhole Cover Missing (Emergency) (SA3),11377
DEP,Department of Environmental Protection,BROOKLYN,,EAST   34 STREET,Sewer,Sewer Backup (Use Comments) (SA),11210
DEP,Department of Environmental Protection,BROOKLYN,,,Sewer,Manhole Cover Missing (Emergency) (SA3),11238
DEP,Department of Environmental Protection,STATEN ISLAND,,KENMORE STREET,Water System,Leak (Use Comments) (WA2),10312
DEP,Department of Environmental Protection,MANHATTAN,,HILLSIDE AVENUE,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,MANHATTAN,,BENNETT AVENUE,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,BROOKLYN,,KINGSTON AVE,Sewer,Manhole Cover Broken/Making Noise (SB),11213
DEP,Department of Environmental Protection,BROOKLYN,,WINDSOR PL,Sewer,Manhole Cover Broken/Making Noise (SB),11218
DEP,Department of Environmental Protection,BROOKLYN,,NORTH   10 STREET,Water System,Hydrant Running Full (WA4),11211
DEP,Department of Environmental Protection,MANHATTAN,,HILLSIDE AVENUE,Water System,Dirty Water (WE),10040
DEP,Department of Environmental Protection,MANHATTAN,,WEST  164 STREET,Water System,Dirty Water (WE),10032
DEP,Department of Environmental Protection,MANHATTAN,,PAYSON AVENUE,Water System,Dirty Water (WE),10034
DEP,Department of Environmental Protection,STATEN ISLAND,,EBBITTS ST,Sewer,Manhole Cover Missing (Emergency) (SA3),10306
DOB,Department of Buildings,BROOKLYN,,EAST   46 STREET,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,11203
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,WEST   58 STREET,Graffiti,Graffiti,10019
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,CHURCH AVENUE,Graffiti,Graffiti,11226
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,4 AVENUE,Graffiti,Graffiti,11220
DSNY,Department of Sanitation,BRONX,Comercial,EAST  170 STREET,Graffiti,Graffiti,10452
DOB,Department of Buildings,BROOKLYN,,NORWOOD AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11208
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,WOODPOINT ROAD,Graffiti,Graffiti,11211
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,MONTROSE AVENUE,Graffiti,Graffiti,11206
DSNY,Department of Sanitation,BRONX,Mixed Use,BAINBRIDGE AVENUE,Graffiti,Graffiti,10458
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,EAST HOUSTON STREET,Graffiti,Graffiti,10012
DSNY,Department of Sanitation,BRONX,Mixed Use,EAST  174 STREET,Graffiti,Graffiti,10460
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,EAST    9 STREET,Graffiti,Graffiti,10009
DOB,Department of Buildings,QUEENS,,69 LANE,Building/Use,Illegal Conversion Of Residential Building/Space,11378
DOB,Department of Buildings,BROOKLYN,,53 STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11220
DOB,Department of Buildings,BROOKLYN,,DEAN STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11233
DOB,Department of Buildings,QUEENS,,MAPLE AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11355
DPR,Department of Parks and Recreation,BROOKLYN,Street,PIERREPONT PLAZA,New Tree Request,For One Address,11201
DPR,Department of Parks and Recreation,BROOKLYN,Street,COURT STREET,New Tree Request,For One Address,11201
DSNY,Queens West 06,QUEENS,Street,,Snow,15S Re-Plow/Spread/Ice-Snow Cond.,11385
DSNY,Brooklyn North 03,BROOKLYN,Street,,Snow,15S Re-Plow/Spread/Ice-Snow Cond.,11233
DOT,Department of Transportation,BRONX,,CROSS BRONX EXPY,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,CROSS BRONX EXPY,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,MAJOR DEEGAN EXPY,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,CROSS BRONX EXPY,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,CROSS BRONX EXPY,Street Light Condition,Street Light Out,
DOF,Department of Finance,Unspecified,,,DOF Literature Request,SCRIE - Application for Seniors Not Enrolled - English,
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Request for Review of Tax Class 1 Properties,
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Fixture/Luminaire Damaged,
DOT,Department of Transportation,Unspecified,,,Traffic Signal Condition,Vehicle Signal,
DOT,Department of Transportation,BRONX,,,Traffic Signal Condition,Pedestrian Signal,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Cycling,
DPR,Department of Parks and Recreation,MANHATTAN,Park,,Maintenance or Facility,Hours of Operation,10010
DOT,Department of Transportation,Unspecified,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Glassware Missing,
DOT,Department of Transportation,QUEENS,,54 AVE,Street Light Condition,Glassware Missing,
DOT,Department of Transportation,Unspecified,Ferry,,Ferry Inquiry,Lost and Found,
DOT,Department of Transportation,BRONX,,,Traffic Signal Condition,Controller,
NYPD,New York City Police Department,Unspecified,Street/Sidewalk,36TH ST,Blocked Driveway,No Access,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Fixture/Luminaire Door Open,
DSNY,P - Brooklyn and Staten Island,STATEN ISLAND,Sidewalk,,Dirty Conditions,E12 Illegal Dumping Surveillance,10302
DSNY,Bronx 10,BRONX,Street,DWIGHT PLACE,Snow,15S Re-Plow/Spread/Ice-Snow Cond.,10465
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,QUEENS,,,Traffic Signal Condition,Pedestrian Signal,
HPD,Department of Housing Preservation and Development,Unspecified,,,HPD Literature Request,Housing Information Guide For Tenants and Owners Notice,
DSNY,BCC - Brooklyn North,BROOKLYN,Street,,Derelict Vehicles,14 Derelict Vehicles,11226
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DSNY,Queens West 06,QUEENS,Street,,Derelict Vehicles,14 Derelict Vehicles,11373
DSNY,Department of Sanitation,MANHATTAN,Comercial,WEST  125 STREET,Graffiti,Graffiti,10027
DOB,Department of Buildings,QUEENS,,CYPRESS AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11385
DOB,Department of Buildings,QUEENS,,79 AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11385
DSNY,Department of Sanitation,MANHATTAN,Mixed Use,AMSTERDAM AVENUE,Graffiti,Graffiti,10025
DSNY,Department of Sanitation,BROOKLYN,Mixed Use,NORTH    6 STREET,Graffiti,Graffiti,11249
DSNY,Department of Sanitation,BROOKLYN,Residential,HUMBOLDT STREET,Graffiti,Graffiti,11222
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DSNY,Department of Sanitation,STATEN ISLAND,,SUFFOLK AVENUE,Graffiti,Graffiti,10314
DSNY,Department of Sanitation,MANHATTAN,,EAST BROADWAY,Graffiti,Graffiti,10002
DOB,Department of Buildings,BROOKLYN,,ETNA STREET,Building/Use,Illegal Conversion Of Residential Building/Space,11208
DOB,Department of Buildings,QUEENS,,41 AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11373
DOB,Department of Buildings,QUEENS,,101 AVENUE,Building/Use,Illegal Conversion Of Residential Building/Space,11416
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Lamppost Base Door/Cover Open,
DOF,Personal Exemption Unit,BROOKLYN,Co-Op Unit,,DOF Property - Reduction Issue,Personal STAR Exemption,11209
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Pedestrian Signal,
DPR,Department of Parks and Recreation,BROOKLYN,Street,HOMECREST AVENUE,New Tree Request,For One Address,11229
DPR,Department of Parks and Recreation,BROOKLYN,Street,HOMECREST AVENUE,New Tree Request,For One Address,11229
DOT,Department of Transportation,QUEENS,,QUEENSBORO BRIDGE,Street Light Condition,Street Light Out,
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Request for Review of Tax Class 1 Properties,
DCA,Department of Consumer Affairs,Unspecified,,,DCA / DOH New License Application Request,Frozen Dessert Manufacturer License,
DOT,Department of Transportation,QUEENS,Street,BELL BLVD,Broken Muni Meter,Out of Order,
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Property Tax Exemption Application for Owners - English,
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Property Tax Exemption Application for Owners - English,
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Property Tax Exemption Application for Owners - English,
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Property Tax Exemption Application for Owners - English,
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Property Tax Exemption Application for Owners - Chinese,
DOF,Department of Finance,Unspecified,,,DOF Literature Request,Property Tax Exemption Application for Owners - English,
DPR,Department of Parks and Recreation,QUEENS,Beach,,Animal in a Park,Animal Waste,11694
DOT,Department of Transportation,QUEENS,,CLEARVIEW EXPY,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BRONX,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,BROOKLYN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,QUEENS,,,Street Condition,Pothole,11354
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Controller,
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Underground,
DOT,Department of Transportation,MANHATTAN,,,Street Light Condition,Street Light Out,
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Pedestrian Signal,
DOT,Department of Transportation,MANHATTAN,,,Traffic Signal Condition,Controller,
DSNY,Queens West 03,QUEENS,Street,93 STREET,Derelict Vehicles,14 Derelict Vehicles,11372
DOB,Department of Buildings,BROOKLYN,,GERRITSEN AVENUE,General Construction/Plumbing,Wall/Retaining Wall - Bulging/Cracked,11229
